一日三复|yī rì sān fù
一日三岁|yī rì sān suì
一日三月|yī rì sān yuè
一日三省|yī rì sān xǐng
一日三秋|yī rì sān qiū
一日三覆|yī rì sān fù
一日不见，如隔三秋|yī rì bù jiàn，rú gé sān qiū
一日为师，终身为父|yī rì wéi shī，zhōng shēn wéi fù
一日之冬|yī rì zhī dōng
一日之谊|yī rì zhī yì
一日之长|yī rì zhī cháng
一日之雅|yī rì zhī yǎ
一日九回|yī rì jiǔ huí
一日九迁|yī rì jiǔ qiān
一日千丈|yī rì qiān zhàng
一日千里|yī rì qiān lǐ
一日夫妻百日恩|yī rì fū qī bǎi rì ēn
一日并命|yī rì bìng mìng
一日纵敌，万世之患|yī rì zòng dí，wàn shì zhī huàn
一日纵敌，数世之患|yī rì zòng dí，shù shì zhī huàn
一日而白|yī rì ér bái
一日身死|yī rì shēn sǐ
一日难再晨|yī rì nán zài chén
一旦一夕|yī dàn yī xī
一旦之忿|yī dàn zhī fèn
一时一刻|yī shí yī kè
一时三刻|yī shí sān kè
一时之冠|yī shí zhī guàn
一时之权|yī shí zhī quán
一时之标|yī shí zhī biāo
一时之秀|yī shí zhī xiù
一时之选|yī shí zhī xuǎn
一时伯仲|yī shí bó zhòng
一时千载|yī shí qiān zǎi
一时半刻|yī shí bàn kè
一时半晌|yī shí bàn shǎng
一时半霎|yī shí bàn shà
一时口惠|yī shí kǒu huì
一时戏言|yī shí xì yán
一时无两|yī shí wú liǎng
一时权宜|yī shí quán yí
一时独步|yī shí dú bù
一时缓急|yī shí huǎn jí
一时虚誉|yī shí xū yù
一昔之期|yī xī zhī qī
一星半点|yī xīng bàn diǎn
一是一，二是二|yī shì yī，èr shì èr
一晦一明|yī huì yī míng
一暝不视|yī míng bù shì
一暴十寒|yī pù shí hán
一曝十寒|yī pù shí hán
一曲之士|yī qǔ zhī shì
一曲阳关|yī qǔ yáng guān
一替一句|yī tì yī ù
一月三舟|yī yuè sān zhōu
一望无垠|yī wàng wú yín
一望无涯|yī wàng wú yá
一望无边|yī wàng wú biān
一望无际|yī wàng wú jì
一望而知|yī wàng ér zhī
一朝一夕|yī zhāo yī xī
一朝之忿|yī zhāo zhī fèn
一朝之患|yī zhāo zhī huàn
一朝千里|yī zhāo qiān lǐ
一朝天子一朝臣|yī cháo tiān zǐ yī cháo chén
一朝权入手，看取令行时|yī zhāo quán rù shǒu，kàn qǔ lìng xíng shí
一朝权在手，便把令来行|yī zhāo quán zài shǒu，biàn bǎ lìng lái xíng
一朝被蛇咬，三年怕井绳|yī zhāo bèi shé yǎo，sān nián pà jǐng shéng
一木破天|yī mù pò tiān
一木难扶|yī mù nán fú
一木难支|yī mù nán zhī
一本万利|yī běn wàn lì
一本万殊|yī běn wàn shū
一本十利|yī běn shí lì
一本正经|yī běn zhèng jīng
一杖一条痕|yī zhàng yī tiáo hén
一条线儿拴两蚂蚱|yī tiáo xiàn er shuān liǎng mà zha
一条藤儿|yī tiáo téng er
一条龙|yī tiáo lóng
一来一往|yī lái yī wǎng
一来二去|yī lái èr qù
一来二往|yī lái èr wǎng
一杯羹|yī bēi gēng
一板一眼|yī bǎn yīn yǎn
一板三眼|yī bǎn sān yǎn
一板正经|yī bǎn zhèng jīng
一枕南柯|yī zhěn nán kē
一枕日红|yī zhěn rì hóng
一枕槐安|yī zhěn huái ān
一枕邯郸|yī zhěn hán dān
一枕黄梁|yī zhěn huáng liáng
一枕黄粱|yī zhěn huáng liáng
一枕黑甜|yī zhěn hēi tián
一林二虎|yī lín èr hǔ
一枝一叶总关情|yī zhī yī yè zǒng guān qíng
一枝一栖|yī zhī yī qī
一枝一节|yī zhī yī jié
一枝之栖|yī zhī zhī qī
一枝春|yī zhī chūn
一枝春信|yī zhī chūn xìn
一枝独秀|yī zhī dú xiù
一枝自足|yī zhī zì zú
一柱承天|yī zhù chéng tiān
一柱擎天|yī zhù qíng tiān
一柱难支|yī zhù nán zhī
一树百获|yī shù bǎi huò
一栖不两雄|yī qī bù liǎng xióng
一栖两雄|yī qī liǎng xióng
一根一板|yī gēn yī bǎn
一梦华胥|yī mèng huá xū
一棍子打死|yī gùn zi dǎ sǐ
一棍打一船|yī gùn dǎ yī chuán
